from_city,to_city
安庆,北京
安庆,北京
安庆,北京
安庆,天津
安庆,珠海
安庆,珠海
安庆,宁波
安庆,宁波
安庆,宁波
安庆,三亚
鞍山,泸州
鞍山,泸州
包头,咸阳
包头,延安
包头,宁波
包头,三明
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,保山
北京,昌都
北京,昌都
北京,昌都
北京,咸阳
北京,咸阳
北京,咸阳
北京,咸阳
北京,咸阳
北京,咸阳
北京,延安
北京,延安
北京,延安
北京,延安
北京,延安
北京,延安
北京,汉中
北京,榆林
北京,兰州
北京,兰州
北京,嘉峪关
北京,嘉峪关
北京,嘉峪关
北京,嘉峪关
北京,嘉峪关
北京,温州
北京,温州
北京,温州
北京,温州
北京,温州
北京,义乌
北京,义乌
北京,义乌
北京,义乌
北京,义乌
北京,衢州
北京,衢州
北京,合肥
北京,安庆
北京,黄山
北京,厦门
北京,厦门
北京,厦门
北京,厦门
北京,厦门
北京,厦门
北京,厦门
北京,厦门
北京,三明
北京,三明
北京,三明
北京,三明
北京,三明
北京,三明
北京,三明
北京,三明
北京,泉州
北京,晋江
北京,晋江
北京,晋江
北京,晋江
北京,晋江
北京,武夷山
北京,武夷山
北京,武夷山
北京,武夷山
北京,武夷山
北京,景德镇
北京,景德镇
北京,景德镇
北京,景德镇
北京,景德镇
北京,井冈山
北京,井冈山
北京,宜春
北京,济南
北京,东营
北京,东营
北京,东营
北京,东营
北京,东营
北京,东营
北京,东营
北京,烟台
常德,重庆
常德,重庆
常德,无锡
常德,深圳
常德,珠海
常德,汕头
常州,保山
常州,保山
常州,保山
常州,咸阳
常州,延安
常州,三亚
常州,攀枝花
常州,攀枝花
常州,攀枝花
常州,攀枝花
常州,六盘水
常州,深圳
常州,深圳
常州,珠海
常州,珠海
常州,珠海
常州,珠海
池州,咸阳
池州,延安
池州,珠海
池州,珠海
池州,珠海
池州,晋江
池州,武夷山
大连,保山
大连,保山
大连,保山
大连,保山
大连,咸阳
大连,咸阳
大连,咸阳
大连,延安
大连,延安
大连,延安
大连,嘉峪关
大连,嘉峪关
大连,宁波
大连,温州
大连,安庆
大连,安庆
大连,安庆
大连,厦门
大连,厦门
大连,三明
大连,三明
大连,三明
大连,三明
大连,三明
大连,青岛
大连,青岛
大连,青岛
大连,青岛
大连,青岛
大连,青岛
大连,青岛
大连,青岛
大连,东营
大连,东营
大连,东营
大连,东营
大连,东营
大同,保山
大同,保山
大同,咸阳
大同,延安
大同,三明
东营,北京
东营,北京
东营,北京
东营,北京
东营,北京
东营,天津
东营,重庆
东营,鞍山
东营,鞍山
东营,鞍山
鄂尔多斯,咸阳
鄂尔多斯,咸阳
鄂尔多斯,延安
鄂尔多斯,延安
福州,固原
福州,乌鲁木齐
福州,昆明
福州,昆明
福州,昆明
福州,昆明
福州,昆明
福州,昆明
福州,保山
福州,保山
福州,保山
福州,保山
福州,保山
福州,保山
福州,咸阳
福州,咸阳
福州,咸阳
福州,咸阳
福州,延安
福州,延安
福州,延安
福州,延安
福州,嘉峪关
福州,嘉峪关
福州,嘉峪关
福州,天津
福州,天津
福州,天津
福州,天津
福州,上海
福州,上海
福州,上海
福州,重庆
福州,重庆
福州,重庆
福州,重庆
福州,重庆
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,石家庄
福州,唐山
福州,大同
福州,忻州
福州,大连
福州,大连
福州,大连
福州,威海
福州,威海
福州,洛阳
福州,洛阳
福州,洛阳
福州,洛阳
福州,洛阳
福州,洛阳
福州,洛阳
福州,洛阳
福州,洛阳
福州,信阳
福州,衡阳
福州,衡阳
福州,衡阳
福州,衡阳
福州,衡阳
福州,衡阳
福州,深圳
福州,深圳
福州,深圳
福州,深圳
福州,惠州
福州,三明
福州,青岛
福州,东营
福州,东营
福州,通化
福州,通化
福州,通化
福州,齐齐哈尔
福州,齐齐哈尔
福州,无锡
福州,无锡
福州,常州
福州,南通
福州,淮安
福州,淮安
福州,盐城
福州,扬州
福州,泰州
福州,杭州
福州,柳州
福州,柳州
福州,柳州
福州,柳州
福州,柳州
福州,柳州
福州,柳州
福州,梧州
福州,三亚
福州,琼海
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,攀枝花
福州,绵阳
福州,广元
福州,六盘水
福州,六盘水
福州,六盘水
福州,六盘水
福州,六盘水
